State,Tax EV Incentive Amount (Does not factor utility incentives)
Alabama ,-$200
Alaska ,$0
Arizona ,$0
Arkansas ,-$200
California ,"$3,000"
Colorado ,"$3,000"
Connecticut ,"$2,000"
Delaware ,"$2,500"
District of Columbia ,"$2,000"
Florida ,$0
Georgia ,-$320
Hawaii ,-$50
Idaho ,-$140
Illinois ,"$3,900"
Indiana ,-$150
Iowa ,-$130
Kansas ,-$100
Kentucky ,-$120
Louisiana ,-$100
Maine ,"$3,500"
Maryland ,"$3,000"
Massachusetts ,"$2,500"
Michigan ,-$100
Minnesota ,$0
Mississippi ,-$150
Missouri ,$0
Montana ,$0
Nebraska ,-$75
Nevada ,$0
New Hampshire ,$0
New Jersey ,"$4,000"
New Mexico ,$0
New York ,"$2,000"
North Carolina ,$0
North Dakota ,$0
Ohio ,$0
Oklahoma ,$0
Oregon ,"$7,500"
Pennsylvania ,"$2,000"
Rhode Island ,"$2,500"
South Carolina ,-$120
South Dakota ,-$50
Tennessee ,$0
Texas ,"$2,500"
Utah ,$0
Vermont ,"$4,000"
Virginia ,-$117
Washington ,"$1,300"
West Virginia ,-$200
Wisconsin ,-$100
Wyoming ,-$200
